Mark,Model,Generation,Car_type,Restyling,Fuel,Drive,Transmissions,Boost_type,Engine_Location,Country,Engine_volume,Maximum_power,Cylinders,Length,Width,Height,Curb_weight_kg,Clearance,Trunk_volume_max,Consumption_average,Expense_city,Expense_track,Maximum_speed,Speed_to_100,Year,Price
Acura,EL,4,MPV,No,Electric,4WD,CVT,Supercharger,Rear,UK,3.2,487,5,4375,1830,1767,1301,223,404,11.1,15.2,8.9,288,14.4,2011,14508000
Acura,EL,3,Pickup,No,Petrol,FWD,Manual,None,Rear,Japan,2.6,152,12,4048,1960,1464,1704,145,245,6.8,8.4,5.8,223,6.5,2012,5141000
Acura,EL,4,Pickup,Yes,Hybrid,4WD,CVT,Supercharger,Rear,USA,1.8,165,5,4078,1696,1804,1011,207,238,11.4,12.9,10.7,253,10.8,2004,7988000
Acura,EL,2,MPV,Yes,Hybrid,AWD,Manual,None,Front,Germany,2.6,414,4,3796,1620,1550,2180,231,443,14.6,19.9,14.2,263,11.3,2004,4355000
Acura,EL,2,MPV,Yes,Diesel,RWD,Manual,None,Front,France,1.2,439,5,5081,1840,1762,1091,203,258,14.4,19.2,12.4,273,6.7,2002,3105000
Acura,EL,2,Hatchback,No,Diesel,FWD,CVT,Supercharger,Middle,Sweden,2.2,542,12,4526,1691,1843,1138,127,390,7.7,10.9,7.5,211,9.9,2018,7204000
Acura,EL,5,MPV,No,Petrol,4WD,CVT,Turbo,Front,USA,4.6,540,3,3526,1653,1713,1718,167,314,8.7,10.4,8.0,278,12.4,2004,3264000
Acura,EL,4,Crossover,No,Diesel,AWD,CVT,Supercharger,Front,UK,2.7,378,3,4367,1620,1781,2378,186,289,6.0,8.2,5.3,161,9.1,2025,14091000
Acura,EL,5,Crossover,No,Diesel,AWD,CVT,None,Rear,Germany,1.4,474,6,4101,2000,1508,1051,227,491,7.6,9.9,7.3,283,12.0,2025,12248000
Acura,EL,4,Pickup,Yes,Electric,AWD,Manual,Supercharger,Front,UK,2.8,350,12,5180,1643,1613,1414,207,681,13.9,19.3,13.1,232,5.7,2015,1696000
Acura,EL,4,Sedan,Yes,Hybrid,4WD,Dual-clutch,Supercharger,Middle,Italy,4.1,317,3,5067,1952,1659,2076,122,287,11.2,15.0,10.6,275,6.4,2004,6934000
Acura,EL,4,SUV,Yes,Electric,4WD,Manual,Supercharger,Middle,Italy,1.7,428,6,4729,1776,1846,2272,230,409,13.6,19.2,11.7,268,6.6,2017,3702000
Acura,EL,2,MPV,No,Electric,4WD,Manual,None,Front,China,4.5,417,3,3949,1768,1879,1854,183,396,8.7,10.1,7.3,170,4.1,2001,8542000
Acura,EL,1,Roadster,Yes,Petrol,AWD,Manual,Supercharger,Middle,France,1.3,83,12,4412,1937,1531,1151,216,380,7.5,8.3,6.3,222,6.2,2022,4145000
Acura,EL,1,Roadster,No,Petrol,FWD,Manual,Supercharger,Middle,Italy,1.3,353,8,4493,1743,1402,1783,138,443,5.0,5.8,4.8,296,9.6,2005,7542000
Acura,EL,3,MPV,Yes,Petrol,4WD,Manual,Supercharger,Rear,Sweden,4.2,550,8,3895,1930,1611,2346,206,514,13.2,19.4,12.8,283,9.0,2004,5188000
Acura,EL,4,Pickup,Yes,Electric,AWD,CVT,Turbo,Front,South Korea,1.9,126,4,3875,1741,1882,1683,234,408,9.3,11.4,8.2,175,7.4,2007,1989000
Acura,EL,2,Crossover,Yes,Petrol,RWD,Manual,Turbo,Middle,Sweden,2.7,462,6,3756,1655,1841,2419,168,606,3.8,5.2,3.1,302,10.8,2005,6285000
Acura,EL,5,Coupe,Yes,Petrol,AWD,Manual,None,Rear,South Korea,4.6,422,5,4134,1788,1662,1293,211,353,10.4,13.4,8.4,240,11.4,2013,10653000
Acura,EL,3,Pickup,Yes,Petrol,4WD,Manual,Supercharger,Middle,Japan,3.4,348,5,4798,1898,1416,2466,222,444,13.3,17.4,11.6,296,11.0,2013,9936000
Acura,ILX,1,Coupe,Yes,Hybrid,FWD,Manual,None,Middle,France,3.0,324,12,3611,1755,1833,1023,120,518,5.9,8.7,5.9,163,9.4,2010,10233000
Acura,ILX,4,Roadster,No,Hybrid,FWD,Automatic,Turbo,Middle,Sweden,2.8,281,5,4689,1861,1616,1079,249,503,4.0,5.0,4.0,302,9.4,2020,11698000
Acura,ILX,2,SUV,Yes,Hybrid,AWD,Dual-clutch,Turbo,Rear,China,3.2,89,4,5033,1804,1704,2475,144,452,12.0,13.8,11.8,199,12.3,2016,14692000
Acura,ILX,1,Roadster,No,Hybrid,FWD,CVT,Turbo,Front,Italy,2.9,426,5,3836,1696,1575,1699,170,245,11.9,17.6,11.0,294,8.4,2023,11279000
Acura,ILX,4,Roadster,Yes,Electric,FWD,Automatic,Turbo,Rear,Germany,4.1,214,12,4486,1700,1797,1052,123,531,13.1,16.0,12.3,192,8.4,2008,11446000
Acura,ILX,3,Hatchback,Yes,Petrol,RWD,Dual-clutch,None,Rear,South Korea,1.9,498,3,3808,1796,1684,1661,147,520,8.4,12.5,7.7,191,12.0,2019,14644000
Acura,ILX,2,SUV,Yes,Hybrid,FWD,Manual,Turbo,Rear,Germany,1.9,430,8,3652,1664,1680,1824,168,569,7.6,9.8,7.0,151,5.1,2006,3548000
Acura,ILX,3,Coupe,No,Petrol,RWD,Manual,Supercharger,Middle,Japan,3.0,458,3,4406,1720,1694,1698,183,666,7.5,10.7,6.5,188,12.9,2003,8718000
Acura,ILX,5,Pickup,Yes,Hybrid,4WD,Manual,Supercharger,Middle,France,3.8,193,8,3896,1617,1774,1847,184,381,9.2,13.5,7.6,206,11.9,2012,9046000
Acura,ILX,3,Hatchback,No,Electric,FWD,Automatic,Supercharger,Front,France,3.2,246,3,4857,1931,1643,1786,218,369,14.1,16.0,13.8,213,5.2,2018,9328000
Acura,ILX,3,Coupe,No,Petrol,RWD,Manual,Turbo,Middle,South Korea,1.9,90,12,5041,1604,1412,2463,245,575,11.4,14.7,11.0,145,14.0,2001,2303000
Acura,ILX,5,Coupe,Yes,Petrol,4WD,Automatic,Turbo,Middle,France,3.5,222,3,3630,1957,1795,1863,235,481,11.1,13.6,9.7,221,7.6,2003,7900000
Acura,ILX,4,Coupe,No,Electric,RWD,CVT,Supercharger,Rear,China,1.1,76,3,4608,1619,1631,1692,164,386,4.3,6.0,3.7,269,12.7,2020,4473000
Acura,ILX,3,SUV,No,Electric,4WD,Automatic,None,Front,South Korea,1.1,146,12,3587,1705,1422,1338,191,329,6.5,7.9,6.5,167,14.5,2006,6583000
Acura,ILX,5,Crossover,Yes,Electric,AWD,Manual,Turbo,Rear,France,3.9,374,8,4127,1775,1838,1939,155,569,8.2,12.1,7.3,176,12.7,2008,11358000
Acura,ILX,3,Roadster,No,Petrol,AWD,CVT,Turbo,Rear,USA,4.8,371,8,4954,1787,1877,1113,238,359,3.2,3.9,2.7,229,14.6,2013,2304000
Acura,ILX,4,Crossover,No,Petrol,AWD,CVT,Turbo,Rear,South Korea,3.5,212,8,4503,1922,1836,2260,133,389,5.7,7.7,5.0,229,5.1,2014,6723000
Acura,ILX,4,Hatchback,Yes,Petrol,FWD,CVT,Supercharger,Middle,Sweden,3.8,199,6,3710,1833,1667,2065,129,537,6.0,8.7,5.5,181,7.7,2019,14480000
Acura,ILX,2,Crossover,No,Hybrid,AWD,CVT,Supercharger,Middle,USA,5.0,506,4,4353,1824,1779,1857,151,467,4.9,7.0,4.0,189,5.6,2025,2149000
Acura,ILX,1,SUV,Yes,Diesel,4WD,Automatic,Supercharger,Front,USA,2.2,127,4,4615,1686,1698,2036,245,625,13.0,18.9,10.6,278,14.3,2016,10564000
Acura,Integra,1,Sedan,No,Diesel,4WD,CVT,None,Front,Germany,2.3,113,4,4713,1738,1823,1801,157,213,13.0,14.8,10.6,193,14.7,2015,1415000
Acura,Integra,4,SUV,No,Petrol,RWD,Automatic,Turbo,Front,France,4.8,268,6,4992,1666,1514,1854,232,485,12.1,17.1,10.3,198,10.1,2006,8733000
Acura,Integra,1,SUV,Yes,Hybrid,AWD,Manual,None,Middle,Sweden,4.7,93,4,5200,1937,1495,1842,224,611,8.3,11.2,7.5,297,8.2,2018,2650000
Acura,Integra,5,MPV,Yes,Petrol,AWD,CVT,Supercharger,Rear,Germany,3.6,172,5,4477,1687,1672,2004,207,651,7.7,8.9,6.2,296,3.5,2012,3120000
Acura,Integra,5,Crossover,Yes,Diesel,4WD,Automatic,Turbo,Front,Germany,4.6,148,8,3882,1976,1629,2164,153,263,8.0,9.1,7.7,261,7.5,2023,11663000
Acura,Integra,2,Pickup,Yes,Petrol,RWD,Dual-clutch,Supercharger,Rear,South Korea,2.0,504,8,4423,1949,1475,2446,232,649,9.1,12.6,8.5,298,8.4,2004,4729000
Acura,Integra,4,Hatchback,Yes,Petrol,4WD,Manual,Turbo,Rear,South Korea,4.7,531,8,4494,1746,1682,2471,248,674,8.4,11.4,7.4,251,11.1,2012,4150000
Acura,Integra,3,SUV,No,Diesel,AWD,Dual-clutch,Supercharger,Front,France,4.9,210,8,4749,1994,1582,2120,242,212,3.7,5.0,3.1,307,14.8,2005,5079000
Acura,Integra,2,Roadster,No,Petrol,AWD,Automatic,Supercharger,Rear,France,3.0,410,12,3602,1778,1756,914,246,265,5.1,7.2,5.1,265,5.4,2022,6985000
Acura,Integra,3,Sedan,Yes,Electric,4WD,Dual-clutch,Supercharger,Middle,South Korea,5.0,444,6,4085,1923,1403,1806,134,424,4.0,4.4,3.9,303,10.8,2024,9247000
Acura,Integra,4,Roadster,No,Electric,4WD,Dual-clutch,Supercharger,Front,UK,1.9,492,8,3688,1790,1569,1303,158,529,11.9,17.3,9.9,250,8.5,2015,1091000
Acura,Integra,3,Crossover,Yes,Petrol,4WD,Dual-clutch,None,Front,Japan,4.8,483,4,4610,1892,1638,2232,187,517,7.5,8.9,6.5,224,6.6,2024,4718000
Acura,Integra,3,Sedan,Yes,Petrol,AWD,Manual,None,Middle,Germany,4.3,470,6,4926,1828,1459,2114,140,493,10.4,12.4,9.4,318,14.9,2025,12233000
