brand,model,year,generation,restyling,price,engine_volume,fuel_t,power_hp,transmission,drive,body-type,mileage,owners,steering,equipment
Honda,Civic,2008,8,False,2008,1.8,бензин,140,АКПП,передний,седан,300000,2,левый,N/A
Land,Rover Discovery Sport,2015,1,False,2015,2.0,бензин,240,АКПП,4WD,внедорожник,150000,3,левый,2.0 Si4 AT AWD HSE Luxury
Land,Rover Range Rover Sport,2014,2,False,2014,5.0,бензин,510,АКПП,4WD,внедорожник,190000,2,левый,5.0 S/C AT Autobiography Dynamic
Lexus,LM350h,2025,2,False,350,2.5,бензин,190,вариатор,4WD,минивэн,N/A,N/A,левый,2.5h CVT VIP+ Казахстан; бензин; 4вд
SsangYong,Rexton Sports,2023,N/A,True,2023,2.2,дизель,187,автомат,4WD,"большой, сбалансированный, комфортный, надежный, экономичный, пикап с полноценной кабиной, кузов для груза и буксировка прицепа.",1,N/A,левый,"большой, сбалансированный, комфортный, надежный, экономичный, пикап с полноценной кабиной, кузов для груза и буксировка прицепа."
Tesla,Model X,2022,1,True,2022,N/A,электро,1020,АКПП,4WD,внедорожник,10000,1,левый,130D kWh Plaid; электро; коробка автомат; 4 вд
Lexus,RX200t,2016,4,False,200,2.0,бензин,238,АКПП,4WD,внедорожник,274000,2,левый,2.0t AT AWD Executive
Mercedes,Benz E Class,2025,6,False,2025,2.0,дизель,197,АКПП,4WD,седан,1020,N/A,левый,E 220d AТ 4MATIC AMG Line Premium
Lexus,LX500d,2025,4,False,500,3.3,дизель,299,АКПП,4WD,внедорожник,29,1,левый,3.3DT AT Luxury Казахстан
Toyota,Land Cruiser,2024,12,False,2024,3.4,бензин,415,АКПП,4WD,джип/suv 5 дв.,67,1,левый,3.4 AT Премиум+ Казахстан
Opel,Vectra,2003,3,False,2003,3.2,бензин,211,АКПП,передний,лифтбек,323958,3,левый,3.2 AT GTS
Лада,2113 Самара,2009,1,False,2113,1.6,бензин,80,механика,передний,хэтчбек,200000,N/A,левый,N/A
Jaguar,I Pace,2018,1,False,2018,N/A,электро,400,АКПП,4WD,внедорожник,66500,2,левый,"CCS Combo / Type 2 + возможность зарядки от домашней сети 220В (входит в комплект) Батарея 90 кВт*ч с терморегуляцией 400 лс, 690 Нм, 4.8 с до 100 км/ч Постоянный симметричный полный привод и эффективная рекуперация Надежная подвеска: спереди — двухрычажная, сзади — многорычажная Длинная база позволила сделать салон максимально просторным: ногам задних пассажиров предоставлены 890 см длины. Но это не все — поскольку на каждой из осей машины стоит по «своему» электродвигателю, у I-Pace нет карданного вала, следовательно, пол в салоне абсолютно ровный, это тоже непременно оценят сидящие сзади. Отлично решен и вопрос вместительности багажника. Его стандартный объем 656 литров (+27 л под капотом), при сложенных задних сиденьях — 1453 л."
Infiniti,QX80,2014,1,False,802014,5.6,бензин,405,АКПП,4WD,внедорожник,341010,4,левый,5.6 AWD Hi-tech (7-местный)
Lexus,LX570,2014,3,True,5702014,5.7,бензин,367,АКПП,4WD,внедорожник,250000,2,левый,8 мест. настоящий пробег; цвет черный; полный привод; бензин
BMW,5 Series,2013,6,True,5,2.0,бензин,184,АКПП,задний,седан,199000,3,левый,520Li AT Elegant; седан; бензиновый; автоматическая коробка
Hyundai,Santa Fe,2017,3,True,2017,2.4,бензин,171,АКПП,4WD,внедорожник,56900,1,левый,2.4 AT 4WD Limited Edition
Nissan,Patrol,2025,7,False,2025,3.5,бензин,425,АКПП,4WD,джип/suv 5 дв.,29,N/A,левый,Nissan Patrol VII (Y63) 3.5 AT (425 л.с.) 4WD
RAM,1500,2025,2,True,15002025,3.0,бензин,540,АКПП,4WD,N/A,68,N/A,левый,3.0 AT 4x4 RHO Crew Cab Short Box
Mercedes,Benz GLS Class,2021,2,False,2021,4.0,бензин,558,АКПП,4WD,внедорожник,13600,N/A,левый,Mercedes-Maybach GLS 600 4MATIC
BMW,X7,2023,N/A,False,72023,3.0,бензин,381,автомат,4WD,внедорожник,6517,1,левый,BMW X7 I (G07) Рестайлинг 40i 3.0 AT (381 л.с.) 4WD xDrive40i M Sport Pro
Lamborghini,Urus,2025,1,False,2025,4.0,бензин,620,АКПП,4WD,внедорожник,73,N/A,левый,PHEV 4.0 AT SE
Cadillac,Escalade,2024,5,True,2024,6.2,бензин,420,АКПП,4WD,джип/suv 5 дв.,22,N/A,левый,6.2 AT AWD Sport Platinum
Toyota,Sequoia,2025,3,False,2025,3.4,бензин,437,АКПП,4WD,внедорожник,23,1,левый,3.4 AT Capstone; бензин; автомат; 3.4 литра; 4WD; левый руль; гибрид
Cadillac,Escalade,2025,5,True,2025,6.2,бензин,682,АКПП,4WD,джип/suv 5 дв.,120,N/A,левый,6.2 AT AWD Escalade-V
Lamborghini,Urus,2020,1,False,2020,4.0,бензин,650,АКПП,4WD,внедорожник,38485,1,левый,Lamborghini Urus I 4.0 AT (650 л.с.) 4WD Individual; бензиновый двигатель; автомат; 4л.; черный; 4WD
BMW,X6,2023,3,True,62023,4.4,бензин,530,АКПП,4WD,внедорожник,4071,N/A,левый,M60i AT; 4wd; бензин; акпп
Lexus,LX600,2024,4,False,6002024,3.4,бензин,415,АКПП,4WD,внедорожник,110,N/A,левый,3.4 AT Luxury; цена 17000000рублей
Lamborghini,Urus,2021,1,False,2021,4.0,бензин,650,АКПП,4WD,внедорожник,40553,N/A,левый,Lamborghini Urus I 4.0 AT (650 л.с.) 4WD Individual
Nissan,Armada,2025,N/A,False,2025,3.5,бензин,425,автомат,4WD,внедорожник,29,N/A,левый,Nissan Armada III 3.5 AT (425 л.с.) 4WD Pro-4X
RAM,1500,2024,2,True,15002024,3.0,бензин,420,АКПП,4WD,N/A,42,N/A,левый,3.0 AT 4x4 Rebel Crew Cab Short Box
Toyota,Sequoia,2025,3,False,2025,3.4,бензин,437,АКПП,4WD,внедорожник,512,N/A,левый,3.4 AT TRD Pro
BMW,X7,2023,N/A,False,72023,4.4,бензин,530,автомат,4WD,внедорожник,7200,1,левый,BMW X7 I (G07) Рестайлинг M60i 4.4 AT (530 л.с.) 4WD M60i xDrive Sport Pro
Mercedes,Benz GLS Class,2022,2,False,2022,4.0,бензин,558,АКПП,4WD,внедорожник,64,N/A,левый,Mercedes-Maybach GLS 600 4MATIC
