brand,model,year,generation,price,price_num,engine,power_l_s,transmission,drive,body_type,mileage,owners_count,steering,equipment
Nissan,Note,2019,"2 поколение, рестайлинг",N/A,N/A,"бензин, 1.2 л, гибрид",83,АКПП,передний,N/A,57 000 км,1,правый,1.2 e-POWER NISMO S
Hyundai,Santa Fe,2025,5 поколение,N/A,N/A,"бензин, 2.0 л",247,автомат,4WD,N/A,новый автомобиль,N/A,левый,Connoisseur Ultra
Infiniti,Q60,2018,5 поколение,N/A,N/A,"бензин, 3.0 л",405,АКПП,4WD,купе,59 000 км,2,левый,N/A
Volkswagen,Golf,2010,6 поколение,N/A,N/A,"бензин, 1.4 л",122,робот,передний,хэтчбек 5 дв.,174 000 км,3,левый,1.4 TSI DSG Highline 5dr.
Hyundai,Santa Fe,2021,"4 поколение, рестайлинг",N/A,N/A,"дизель, 2.2 л",199,робот,4WD,N/A,171 000 км,2,левый,2.2 CRDi DCT 4WD High-Tech 5 мест
Mercedes,Benz GLC Coupe,2025,2 поколение,N/A,N/A,"бензин, 2.0 л",258,АКПП,4WD,N/A,"7 км , без пробега по РФ",N/A,левый,GLC 300 4MATIC
Ford,Focus,2007,2 поколение,N/A,N/A,"бензин, 1.6 л",100,АКПП,передний,хэтчбек 5 дв.,163 359 км,4,левый,1.6 AT Ghia; с пробегом
Audi,A4,2019,5 поколение,N/A,N/A,"дизель, 2.0 л",150,робот,передний,седан,110 000 км,3,левый,2.0 35 TDI S tronic
Toyota,Land Cruiser,2018,"11 поколение, 2 рестайлинг",N/A,N/A,"дизель, 4.5 л",249,АКПП,4WD,джип/suv 5 дв.,149 000 км,1,левый,4.5 TD AT Люкс Safety (5 мест)
Hyundai,Santa Fe,2017,"3 поколение, рестайлинг",N/A,N/A,"бензин, 2.4 л",171,АКПП,4WD,N/A,56 900 км,1,левый,2.4 AT 4WD Limited Edition
Lexus,GX460,2014,"2 поколение, рестайлинг",N/A,N/A,"бензин, 4.6 л",296,АКПП,4WD,N/A,171 000 км,1,левый,4.6 AT Executive 5S
BMW,X7,2019,1 поколение,N/A,N/A,"дизель, 3.0 л",249,АКПП,4WD,N/A,48 400 км,1,левый,xDrive30d AT M Sport Pro
Mercedes,Benz E Class,2019,5 поколение,N/A,N/A,"бензин, 2.0 л",245,АКПП,задний,седан,"37 044 км , без пробега по РФ",N/A,левый,E 300 AТ AMG Line
Ford,Focus,2012,3 поколение,N/A,N/A,"бензин, 2.0 л",150,робот,передний,хэтчбек 5 дв.,163 500 км,2,левый,2.0 PowerShift Titanium
Voyah,Free,2024,"1 поколение, рестайлинг",N/A,N/A,"бензин, 1.5 л, гибрид",150,АКПП,4WD,джип/suv 5 дв.,"40 км , без пробега по РФ",N/A,левый,1.5 EVR Sport Edition
BMW,X3,2023,"3 поколение, рестайлинг",N/A,N/A,"дизель, 2.0 л",190,АКПП,4WD,N/A,"55 500 км , без пробега по РФ",N/A,левый,xDrive 20d AT M Sport Pure
Hyundai,Staria,2022,1 поколение,N/A,N/A,"дизель, 2.2 л",177,АКПП,4WD,N/A,"71 000 км , без пробега по РФ",N/A,левый,2.2D VGT AT 4WD Lounge Inspiration 9-местный
ГАЗ,69,1960,1 поколение,N/A,N/A,"бензин, 2.1 л",55,механика,4WD,джип/suv 3 дв.,23 000 км,N/A,левый,2.1 MT; 4WD; 2.1л.; джип/suv 3 дв.; бу; МКПП
Hyundai,Santa Fe,2020,4 поколение,N/A,N/A,"дизель, 2.2 л",200,АКПП,4WD,N/A,62 300 км,1,левый,2.2 CRDi AT 4WD Black&Brown 5 мест
