,r2,mae
Acura  RDX  I 2006 – 2009 ,0.5875804176945456,97885.71185908536
Audi  100  III (C3) 1982 – 1988 ,-0.7166415283343828,85838.55059523809
Audi  100  IV (C4) 1990 – 1994 ,0.13466910108104835,21282.633958333336
Audi  80  IV (B3) 1986 – 1991 ,-2.005011769579749,49843.434576719585
Audi  80  V (B4) 1991 – 1996 ,0.37310089988945017,15053.059807256239
Audi  A3  II (8P) Restyling 1 2004 – 2008 ,-0.8836018857502435,26139.27678571432
Audi  A3  II (8P) Restyling 2 2008 – 2013 ,0.660572384312651,59831.85725385738
Audi  A3  III (8V) 2012 – 2016 ,-1.732948418474253,158471.87241719774
Audi  A3  III (8V) Restyling 2016 – now ,0.7259928201897845,120396.4771071428
Audi  A4  I (B5) 1994 – 1999 ,-3.1059080920245403,58576.666666666664
Audi  A4  I (B5) Restyling 1999 – 2001 ,0.5646114586766544,29947.51984126987
Audi  A4  II (B6) 2000 – 2006 ,0.7696763103174988,17602.63392857143
Audi  A4  III (B7) 2004 – 2009 ,0.45221337570002385,54994.78143037518
Audi  A4  IV (B8) 2007 – 2011 ,-0.23960705971751994,132616.93452380944
Audi  A4  V (B9) Restyling 2019 – now ,-0.40228415132343365,206057.4492857142
Audi  A5  I (8T) 2007 – 2011 ,0.5186662428816607,124733.69047619053
Audi  A5  I (8T) Restyling 2011 – 2016 ,0.7141272791790181,163379.32448809547
Audi  A5  II (F5) 2016 – now ,0.346911882981243,216193.7142857144
Audi  A6  I (C4) 1994 – 1997 ,0.3248112612043934,31800.0
Audi  A6  II (C5) Restyling 2001 – 2004 ,-2.3382978215713415,69755.11111111114
Audi  A6  III (C6) 2004 – 2008 ,0.6667535226622239,58614.58333333334
Audi  A6  III (C6) Restyling 2008 – 2011 ,-0.419434274722412,29372.88192363198
Audi  A6  IV (C7) 2011 – 2014 ,-0.3052852569600042,93768.29100529112
Audi  A6  IV (C7) Restyling 2014 – 2018 ,0.6936770854290604,133016.74222176676
Audi  A6  V (C8) 2018 – now ,0.6386176095808156,290435.8150336699
Audi  A6 allroad  II (C6) 2006 – 2008 ,-0.4958764362223991,109245.92261904765
Audi  A7  I (4G) 2010 – 2014 ,0.33328065086281566,123247.9779942282
Audi  A7  II (4K) 2018 – now ,0.021562108481381514,448883.1782063488
Audi  A8  II (D3) Restyling 2 2007 – 2010 ,0.6930160841696743,67890.67902236654
Audi  A8  III (D4) 2009 – 2014 ,0.48618618404606617,243704.72485569975
Audi  Q3  I (8U) 2011 – 2014 ,0.8634588669283222,20396.93601190491
Audi  Q3  II (F3) 2018 – now ,-0.09532954178984765,98674.78426412928
Audi  Q3 Sportback  I (F3) 2019 – now ,-0.03463142037092748,426549.418125
Audi  Q5  I (8R) 2008 – 2012 ,0.4476656451337463,80674.77777777806
